interaction_id,drug_a_id,drug_b_id,severity,mechanism,effect,Safer_alternative,rationale,reference
0,0,84,Major,"Increased bleeding risk (antiplatelet effect, GI irritation)",Increased risk of serious GI bleeding,Acetaminophen (Paracetamol),No antiplatelet effect; safer for bleeding risk.,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976., Micromedex"
1,1,127,Major,CYP3A4 inhibition → increased statin levels → myopathy,Risk of severe muscle toxicity (rhabdomyolysis),Azithromycin or Amoxicillin,Weaker CYP3A4 inhibition; different antibiotic class.,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976., FDA Label"
2,2,128,Major,Increased serotonin levels,Increased risk of serotonin syndrome,Morphine or Oxycodone (with caution),Lower serotonergic activity.,FDA Adverse Event Reporting
3,3,105,Major,CYP2C19 inhibition → decreased clopidogrel efficacy,"Reduced antiplatelet effect, increased thrombosis risk",Pantoprazole or Famotidine,Less potent CYP2C19 inhibition.,Clinical Pharmacokinetics
4,4,39,Major,P-gp inhibition → increased digoxin levels,"Increased risk of digoxin toxicity (nausea, arrhythmia)",Amlodipine,No significant effect on P-gp.,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976., Goodman & Gilman"
5,5,84,Major,Decreased renal lithium clearance → increased lithium levels,Increased risk of lithium toxicity,Acetaminophen,Does not affect lithium clearance.,Acta Psychiatr Scand
6,6,25,Major,CYP2D6 inhibition → decreased conversion to morphine,Lack of analgesic efficacy,Morphine,Bypasses metabolic conversion.,Clin Pharmacol Ther
7,7,129,Major,CYP1A2 inhibition → increased theophylline levels,Increased risk of theophylline toxicity,Levofloxacin or Cefuroxime,Lower interaction potential.,Chest Journal
8,8,0,Major,CYP induction → decreased warfarin levels,Reduced anticoagulant efficacy,Monitor INR closely or choose different antibiotic,Requires aggressive warfarin dose adjustment.,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
9,9,130,Major,Profound hypotension,"Risk of syncope, cardiovascular events",Alternative angina treatment,Contraindicated combination.,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976., NIH"
10,10,131,Major,Inhibits lamotrigine metabolism,Increased risk of serious rash (Stevens-Johnson syndrome),Slow lamotrigine titration,Requires very slow dose escalation.,Epilepsia Journal
11,0,69,Major,CYP2C9 inhibition → increased warfarin levels,Increased bleeding risk,Terbinafine or topical antifungal,Lower interaction potential.,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
12,11,132,Major,CYP3A4 induction → decreased cyclosporine levels,Risk of organ rejection,Avoid herbal product,Patient education is critical.,JAMA
13,12,84,Major,Decreased methotrexate renal excretion,Increased methotrexate levels → toxicity,Acetaminophen,Does not affect methotrexate excretion.,Arthritis & Rheumatism
14,13,133,Major,CYP2D6 inhibition → decreased conversion to active endoxifen,Reduced efficacy of tamoxifen therapy,Venlafaxine or Sertraline,Less potent CYP2D6 inhibition.,J Clin Oncol
15,14,134,Major,XO inhibition → increased azathioprine levels,"Myelosuppression, increased infection risk",Febuxostat (with caution) or adjust doses,Different metabolic pathway (monitor closely).,Ann Rheum Dis
16,0,135,Major,CYP2C9 inhibition + other mechanisms → increased warfarin effect,Increased bleeding risk,Amoxicillin or Cefalexin,Lower interaction potential.,Arch Intern Med
17,15,102,Major,CYP3A4 inhibition → increased quetiapine levels,Increased risk of quetiapine toxicity,Terbinafine or topical antifungal,Lower interaction potential.,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
18,16,136,Major,CYP induction → decreased contraceptive levels,Contraceptive failure,Non-hormonal IUD or higher-dose OC,Requires a contraceptive method unaffected by enzymes.,Contraception Journal
19,0,46,Major,CYP2C9 inhibition → increased warfarin levels,Increased bleeding risk,Reduce warfarin dose by 30-50%,Requires proactive warfarin dose reduction.,NEJM
20,17,137,Major,Increased risk of contrast-induced lactic acidosis,Potential renal impairment and metabolic acidosis,Withhold metformin before/after procedure,Standard procedural management.,ACR Manual
21,18,138,Major,CYP3A4 inhibition → increased tacrolimus levels,Increased risk of tacrolimus toxicity,Reduce tacrolimus dose by 2/3; monitor levels,Requires aggressive dose reduction and monitoring.,Ther Drug Monit
22,19,128,Major,Increased serotonin levels,Increased risk of serotonin syndrome and seizures,Morphine,Lower serotonergic activity.,CNS Drugs
